langs,neighbour,i
Atayal,Arta,4
Atayal,Hmong Daw,5
Atayal,Mampruli,6
Atayal,Thao,7
Atayal,Rongga,8
Atayal,Jicarilla Apache,9
Atayal,Katë,10
Avestan,Pali,1
Avestan,Khwarezmian,2
Avestan,Khotanese,3
Avestan,Sanskrit,4
Avestan,Lycian A,5
Avestan,Icelandic,6
Avestan,Neo-Mandaic,7
Avestan,Latin,8
Avestan,Classical Syriac,9
Avestan,Sinhala,10
Awa,Uripiv,1
Awa,Yabem,2
Awa,Telefol,3
Awa,Malecite-Passamaquoddy,4
Awa,Eastern Canadian Inuktitut,5
Awa,Plains Cree,6
Awa,Kyaka,7
Awa,Ipai,8
Awa,West Kewa,9
Awa,Wampar,10
Baba Malay,Malacca-Batavia Portuguese Creole,1
Baba Malay,Wu Chinese,2
Baba Malay,Caribbean Hindustani,3
Baba Malay,Pampanga,4
Baba Malay,Sembakung Murut,5
Baba Malay,Besisi,6
Baba Malay,Ga,7
Baba Malay,Pangasinan,8
Baba Malay,Urak Lawoi',9
Baba Malay,Tausug,10
Badaga,Manda,1
Badaga,Kathmandu Valley Newari,2
Badaga,Mundari,3
Badaga,Caribbean Hindustani,4
Badaga,Maithili,5
Badaga,Saurashtra,6
Badaga,Mahasu Pahari,7
Badaga,Bambara,8
Badaga,Bondo,9
Badaga,Lisu,10
Bafanji,Chung,1
Bafanji,Gbari,2
Bafanji,Ncane-Mungong,3
Bafanji,Central Dagaare,4
Bafanji,Bassa,5
Bafanji,Shatt,6
Bafanji,Bongo,7
Bafanji,Guarayu,8
Bafanji,Belanda Bor,9
Bafanji,Ibibio,10
Balinese,Tetum,1
Balinese,Muna,2
Balinese,Rade,3
Balinese,Tai Nüa,4
Balinese,Rabha,5
Balinese,Lundayeh,6
Balinese,Rongga,7
Balinese,Iban,8
Balinese,Mon,9
Balinese,Urak Lawoi',10
Bambara,Beng,1
Bambara,Kxoe,2
Bambara,Mwaghavul,3
Bambara,Mbay,4
Bambara,Central Kanuri,5
Bambara,Mungaka,6
Bambara,Borana-Arsi-Guji Oromo,7
Bambara,Tangale,8
Bambara,Buli,9
Bambara,Izon,10
Bantawa,Limbu,1
Bantawa,Rade,2
Bantawa,Tai Nüa,3
Bantawa,Rabha,4
Bantawa,Northern Alta,5
Bantawa,Paiwan,6
Bantawa,Naro,7
Bantawa,Nung,8
Bantawa,Manda,9
Bantawa,Chepang,10
Baram Kayan,Iban,1
Baram Kayan,Biatah Bidayuh,2
Baram Kayan,Lundayeh,3
Baram Kayan,Muna,4
Baram Kayan,Tboli,5
Baram Kayan,Thao,6
Baram Kayan,Chepang,7
Baram Kayan,Mansaka,8
Baram Kayan,Rabha,9
Baram Kayan,Shona,10
Bardi,Tiwi,1
Bardi,Yir-Yoront,2
Bardi,Ngalkbun,3
Bardi,Wik-Mungkan,4
Bardi,Kuku-Yalanji,5
Bardi,Jingulu,6
Bardi,Mudburra,7
Bardi,Kumbainggar,8
Bardi,Muruwari,9
Bardi,Yandruwandha,10
Bassa,Zigula-Mushungulu,1
Bassa,Ncane-Mungong,2
Bassa,Chung,3
Bassa,Bafanji,4
Bassa,Abua,5
Bassa,East Limba,6
Bassa,Nupe-Nupe-Tako,7
Bassa,Zande,8
Bassa,Tsonga,9
Bassa,Karamojong,10
Batad Ifugao,Central Bontoc,1
Batad Ifugao,Tboli,2
Batad Ifugao,Western Bukidnon Manobo,3
Batad Ifugao,Romblomanon,4
Batad Ifugao,Agusan Manobo,5
Batad Ifugao,Yakan,6
Batad Ifugao,Rungus,7
Batad Ifugao,Paiwan,8
Batad Ifugao,Yao,9
Batad Ifugao,Akha,10
Bayungu,Dhalandji,1
Bayungu,Yinggarda,2
Bayungu,Djiwarli,3
Bayungu,Dhargari,4
Bayungu,Wariyangga,5
Bayungu,Yuwaalaraay-Gamilaraay,6
Bayungu,Tweed-Albert,7
Bayungu,Adnyamathanha,8
Bayungu,Kumbainggar,9
Bayungu,Muruwari,10
Beijing Mandarin,Yue Chinese,1
Beijing Mandarin,Min Dong Chinese,2
Beijing Mandarin,Hakka Chinese,3
Beijing Mandarin,Middle Chinese,4
Beijing Mandarin,Min Nan Chinese,5
Beijing Mandarin,Old Chinese,6
Beijing Mandarin,Mandarin Chinese,7
Beijing Mandarin,Javanese,8
Beijing Mandarin,Halh Mongolian,9
Beijing Mandarin,Tai Nüa,10
Beja,Karamojong,1
Beja,Sidamo,2
Beja,Pulaar,3
Beja,Iraqw,4
Beja,Central Kanuri,5
Beja,Zigula-Mushungulu,6
Beja,Western Panjabi,7
Beja,Southwestern Dinka,8
Beja,Gaam,9
Beja,Shatt,10
Belanda Bor,Bongo,1
Belanda Bor,Reel,2
Belanda Bor,Shatt,3
Belanda Bor,Lopit,4
Belanda Bor,Chung,5
Belanda Bor,Bafanji,6
Belanda Bor,Mandari,7
Belanda Bor,Ncane-Mungong,8
Belanda Bor,Lega-Shabunda,9
Belanda Bor,Bassa,10
Belarusian,Serbian-Croatian-Bosnian,1
Belarusian,Western Frisian,2
Belarusian,Galician,3
Belarusian,Western Flemish,4
Belarusian,Georgian,5
Belarusian,Upper Sorbian,6
Belarusian,Papiamento,7
Belarusian,Slovenian,8
Belarusian,Lithuanian,9
Belarusian,Slovak,10
Bella Coola,Squamish,1
Bella Coola,Upper Chehalis,2
Bella Coola,Kwak'wala,3
Bella Coola,Haisla,4
Bella Coola,Aleut,5
Bella Coola,Northwest Sahaptin,6
Bella Coola,Eastern Ojibwa,7
Bella Coola,North Alaskan Inupiatun,8
Bella Coola,Cahuilla,9
Bella Coola,Dena'ina,10
Bemba,Mambwe-Lungu,1
Bemba,Lozi,2
Bemba,Venda,3
Bemba,Nyanja,4
Bemba,Mungaka,5
Bemba,Ganda,6
Bemba,Ndonga,7
Bemba,Southern Sotho,8
Bemba,Lamba,9
Bemba,Nuer,10
Beng,Bambara,1
Beng,Lega-Shabunda,2
Beng,Hmong Njua,3
Beng,Ibibio,4
Beng,Igbo,5
Beng,Kxoe,6
Beng,Ga,7
Beng,Besisi,8
Beng,Liberia Kpelle,9
Beng,Mbay,10
Bengali,Sanskrit,1
Bengali,Malayalam,2
Bengali,Marathi,3
Bengali,Hindi,4
Bengali,Kannada,5
Bengali,Telugu,6
Bengali,Tamil,7
Bengali,Sinhala,8
Bengali,Pali,9
Bengali,Assamese,10
Berom,Bini,1
Berom,Tangale,2
Berom,Izon,3
Berom,Urhobo,4
Berom,Tee,5
Berom,Esan,6
Berom,Mwaghavul,7
Berom,Filipino,8
Berom,Buli,9
Berom,Masai,10
Besisi,Urak Lawoi',1
Besisi,Agusan Manobo,2
Besisi,Warao,3
Besisi,Larike-Wakasihu,4
Besisi,Casiguran-Nagtipunan Agta,5
Besisi,Tetum,6
Besisi,Kalamang,7
Besisi,Hmong Njua,8
Besisi,Kxoe,9
Besisi,Lega-Shabunda,10
Biatah Bidayuh,Baram Kayan,1
Biatah Bidayuh,Iban,2
Biatah Bidayuh,Ho,3
Biatah Bidayuh,Rabha,4
Biatah Bidayuh,Shona,5
Biatah Bidayuh,Chepang,6
Biatah Bidayuh,S'gaw Karen,7
Biatah Bidayuh,Tetum,8
Biatah Bidayuh,Agusan Manobo,9
Biatah Bidayuh,Ao Naga,10
Bini,Esan,1
Bini,Izon,2
Bini,Mungaka,3
Bini,Gbari,4
Bini,Urhobo,5
Bini,Buli,6
Bini,Tee,7
Bini,Igbo,8
Bini,Ibibio,9
Bini,Ga,10
Bislama,Tok Pisin,1
Bislama,Niuean,2
Bislama,Tuvalu,3
Bislama,Tokelau,4
Bislama,Paama,5
Bislama,Tonga,6
Bislama,Chamorro,7
Bislama,Swahili,8
Bislama,Vurës,9
Bislama,Sie,10
Bobangi,South-Central Koongo,1
Bobangi,Kinshasa Lingala,2
Bobangi,Kuanyama,3
Bobangi,Central Nicobarese,4
Bobangi,Zande,5
Bobangi,Ndau,6
Bobangi,Mara Chin,7
Bobangi,East-Central Tangkhul Naga,8
Bobangi,Yoruba,9
Bobangi,Central Carrier,10
Bodo-Mech,Odia,1
Bodo-Mech,Assamese,2
Bodo-Mech,Gujarati,3
Bodo-Mech,Manipuri,4
Bodo-Mech,Kok Borok,5
Bodo-Mech,Chang Naga,6
Bodo-Mech,Portuguese,7
Bodo-Mech,Bengali,8
Bodo-Mech,Eastern Panjabi,9
Bodo-Mech,Eastern Armenian,10
Boko,Bokobaru,1
Boko,Busa,2
Boko,Dagbani,3
Boko,Mampruli,4
Boko,Tumulung Sisaala,5
Boko,Doromu-Koki,6
Boko,Ga,7
Boko,Anufo,8
Boko,Mandinka,9
Boko,Gikyode,10
Bokobaru,Boko,1
Bokobaru,Busa,2
Bokobaru,Dagbani,3
Bokobaru,Mampruli,4
Bokobaru,Doromu-Koki,5
Bokobaru,Ga,6
Bokobaru,Anufo,7
Bokobaru,Tumulung Sisaala,8
Bokobaru,Mandinka,9
Bokobaru,Gikyode,10
Bolivar-North Chimborazo Highland Quichua,Media Lengua,1
Bolivar-North Chimborazo Highland Quichua,Limbu,2
Bolivar-North Chimborazo Highland Quichua,Cahuilla,3
Bolivar-North Chimborazo Highland Quichua,Alabama,4
Bolivar-North Chimborazo Highland Quichua,West Central Oromo,5
Bolivar-North Chimborazo Highland Quichua,Paiwan,6
Bolivar-North Chimborazo Highland Quichua,Nandi,7
Bolivar-North Chimborazo Highland Quichua,Havasupai-Walapai-Yavapai,8
Bolivar-North Chimborazo Highland Quichua,Sidamo,9
Bolivar-North Chimborazo Highland Quichua,K'iche',10
Bondo,Sora,1
Bondo,Manda,2
Bondo,Chantyal,3
Bondo,Mundari,4
Bondo,Limbu,5
Bondo,Dimasa,6
Bondo,Mahasu Pahari,7
Bondo,Tangale,8
Bondo,Shekkacho,9
Bondo,Hmong Njua,10
Bongo,Reel,1
Bongo,Belanda Bor,2
Bongo,Shatt,3
Bongo,Lopit,4
Bongo,Mandari,5
Bongo,Chung,6
Bongo,Lega-Shabunda,7
Bongo,Bafanji,8
Bongo,Ncane-Mungong,9
Bongo,Bassa,10
Borana-Arsi-Guji Oromo,Masai,1
Borana-Arsi-Guji Oromo,Venda,2
Borana-Arsi-Guji Oromo,West Central Oromo,3
Borana-Arsi-Guji Oromo,Iraqw,4
Borana-Arsi-Guji Oromo,Rendille,5
Borana-Arsi-Guji Oromo,Dagbani,6
Borana-Arsi-Guji Oromo,Bambara,7
Borana-Arsi-Guji Oromo,Sidamo,8
Borana-Arsi-Guji Oromo,Buli,9
Borana-Arsi-Guji Oromo,Mbay,10
Border Kuna,Warao,1
Border Kuna,San Blas Kuna,2
Border Kuna,Jehai,3
Border Kuna,Garifuna,4
Border Kuna,Guarayu,5
Border Kuna,Liberia Kpelle,6
Border Kuna,Larike-Wakasihu,7
Border Kuna,Akawaio-Ingariko,8
Border Kuna,Besisi,9
Border Kuna,Lega-Shabunda,10
Brazilian Portuguese,Caló,1
Brazilian Portuguese,Mexican Spanish,2
Brazilian Portuguese,Singlish,3
Brazilian Portuguese,Wu Chinese,4
Brazilian Portuguese,Media Lengua,5
Brazilian Portuguese,Aromanian,6
Brazilian Portuguese,Latin American Spanish,7
Brazilian Portuguese,Coastal-Naga Bikol,8
Brazilian Portuguese,Wolof,9
Brazilian Portuguese,Ladino,10
Breton,Aromanian,1
Breton,Central Kurdish,2
Breton,Georgian,3
Breton,Cornish,4
Breton,Western Frisian,5
Breton,Belarusian,6
Breton,Manx,7
Breton,Tuvinian,8
Breton,Sicilian,9
Breton,Eastern Yiddish,10
Bughotu,Lau,1
Bughotu,Arosi,2
Bughotu,Gela,3
Bughotu,'Are'are,4
Bughotu,Orokolo,5
Bughotu,Futuna-Aniwa,6
Bughotu,Roviana,7
Bughotu,Mailu,8
Bughotu,Raluana,9
Bughotu,Mota,10
Bulgarian,Mushungulu,1
Bulgarian,Egyptian Arabic,2
Bulgarian,Gilit Mesopotamian Arabic,3
Bulgarian,Levantine Arabic,4
Bulgarian,Sanaani Arabic,5
Bulgarian,Gulf Arabic,6
Bulgarian,Tigrinya,7
Bulgarian,Kadazan Dusun,8
Bulgarian,Turkmen,9
Bulgarian,Lithuanian,10
Buli,Gikyode,1
Buli,Tumulung Sisaala,2
Buli,Mbay,3
Buli,Gbari,4
Buli,Central Dagaare,5
Buli,Mungaka,6
Buli,Tampulma,7
Buli,Anufo,8
Buli,Dagbani,9
Buli,Mandinka,10
Burmese,Romanian,1
Burmese,Vietnamese,2
Burmese,Thai,3
Burmese,Filipino,4
Burmese,Standard Indonesian,5
Burmese,Estonian,6
Burmese,Standard Malay,7
Burmese,Mandarin Chinese,8
Burmese,Japanese,9
Burmese,Korean,10
Busa,Bokobaru,1
Busa,Boko,2
Busa,Bassa,3
Busa,Ncane-Mungong,4
Busa,Ga,5
Busa,Chung,6
Busa,Zande,7
Busa,Mandinka,8
Busa,Nupe-Nupe-Tako,9
Busa,Bafanji,10
Cahuilla,Havasupai-Walapai-Yavapai,1
Cahuilla,Alabama,2
Cahuilla,Koasati,3
Cahuilla,Shoshoni,4
Cahuilla,Upper Chehalis,5
Cahuilla,Tonkawa,6
Cahuilla,Coast Miwok,7
Cahuilla,Kiliwa,8
Cahuilla,Northwest Sahaptin,9
Cahuilla,Tohono O'odham,10
Caló,Brazilian Portuguese,1
Caló,Mexican Spanish,2
Caló,Singlish,3
Caló,Media Lengua,4
Caló,Wu Chinese,5
Caló,Ladino,6
Caló,Sembakung Murut,7
Caló,Wolof,8
Caló,Haitian,9
Caló,Midland American English,10
Caribbean Hindustani,Saurashtra,1
Caribbean Hindustani,Manda,2
Caribbean Hindustani,Baba Malay,3
Caribbean Hindustani,Kathmandu Valley Newari,4
Caribbean Hindustani,Badaga,5
Caribbean Hindustani,Mundari,6
Caribbean Hindustani,Maithili,7
Caribbean Hindustani,Malacca-Batavia Portuguese Creole,8
Caribbean Hindustani,Pangasinan,9
Caribbean Hindustani,Beng,10
Carolinian,Marshallese,1
Carolinian,Mokilese,2
Carolinian,Chuukese,3
Carolinian,Kapingamarangi,4
Carolinian,Puluwatese,5
Carolinian,Woleaian,6
Carolinian,Pohnpeian,7
Carolinian,Palauan,8
Carolinian,Yapese,9
Carolinian,Kosraean,10
Casiguran-Nagtipunan Agta,Western Bukidnon Manobo,1
Casiguran-Nagtipunan Agta,Agusan Manobo,2
Casiguran-Nagtipunan Agta,Paiwan,3
Casiguran-Nagtipunan Agta,Mansaka,4
Casiguran-Nagtipunan Agta,Tboli,5
Casiguran-Nagtipunan Agta,Central Bontoc,6
Casiguran-Nagtipunan Agta,Rungus,7
Casiguran-Nagtipunan Agta,Mag-Anchi Ayta,8
Casiguran-Nagtipunan Agta,Cheke Holo,9
Casiguran-Nagtipunan Agta,Yakan,10
Cayubaba,Western Huasteca Nahuatl,1
Cayubaba,Arta,2
Cayubaba,Atayal,3
Cayubaba,Mag-Anchi Ayta,4
Cayubaba,Western Apache,5
Cayubaba,Tohono O'odham,6
Cayubaba,Lega-Shabunda,7
Cayubaba,Chantyal,8
Cayubaba,Warao,9
Cayubaba,Suau,10
Cebuano,Iloko,1
Cebuano,Coastal-Naga Bikol,2
Cebuano,Tausug,3
Cebuano,Maguindanao,4
Cebuano,Tagalog,5
Cebuano,Masbatenyo,6
Cebuano,Mapun,7
Cebuano,Yogad,8
Cebuano,Waray,9
Cebuano,Hiligaynon,10
Central Bontoc,Tboli,1
Central Bontoc,Paiwan,2
Central Bontoc,Batad Ifugao,3
Central Bontoc,Western Bukidnon Manobo,4
Central Bontoc,Rungus,5
Central Bontoc,Casiguran-Nagtipunan Agta,6
Central Bontoc,Agusan Manobo,7
Central Bontoc,Yao,8
Central Bontoc,Tetum,9
Central Bontoc,Chepang,10
Central Carrier,Hidatsa,1
Central Carrier,South-Central Koongo,2
Central Carrier,Ute-Southern Paiute,3
Central Carrier,Bobangi,4
Central Carrier,Heiltsuk-Oowekyala,5
Central Carrier,Cherokee,6
Central Carrier,Classical Nahuatl,7
Central Carrier,Khwarezmian,8
Central Carrier,Didinga,9
Central Carrier,Seneca,10
Central Dagaare,Gbari,1
Central Dagaare,Tumulung Sisaala,2
Central Dagaare,Buli,3
Central Dagaare,Ibibio,4
Central Dagaare,Mbay,5
Central Dagaare,Luo,6
Central Dagaare,Bafanji,7
Central Dagaare,Gikyode,8
Central Dagaare,Tee,9
Central Dagaare,Mandinka,10
Central Kanuri,Hausa,1
Central Kanuri,Mandinka,2
Central Kanuri,Pulaar,3
Central Kanuri,Gambian Wolof,4
Central Kanuri,Chadian Arabic,5
Central Kanuri,Judeo-Yemeni Arabic,6
Central Kanuri,Beja,7
Central Kanuri,Bambara,8
Central Kanuri,Ibibio,9
Central Kanuri,Somali,10
Central Khmer,Lao,1
Central Khmer,Thai,2
Central Khmer,Tibetan,3
Central Khmer,Uighur,4
Central Khmer,Standard Indonesian,5
Central Khmer,Halh Mongolian,6
Central Khmer,Maranao,7
Central Khmer,Vietnamese,8
Central Khmer,Nepali,9
Central Khmer,North Azerbaijani,10
Central Kurdish,Turkish,1
Central Kurdish,Breton,2
Central Kurdish,North Azerbaijani,3
Central Kurdish,Kazakh,4
Central Kurdish,Leh Ladakhi,5
Central Kurdish,Uighur,6
Central Kurdish,Somali,7
Central Kurdish,Northern Tosk Albanian,8
Central Kurdish,Tuvinian,9
Central Kurdish,Nepali,10
Central Malay,Malayo,1
Central Malay,Manx,2
Central Malay,Western Temne,3
Central Malay,Mískito,4
Central Malay,Scottish Gaelic,5
Central Malay,Welsh,6
Central Malay,Latin,7
Central Malay,West Circassian,8
Central Malay,Dzongkha,9
Central Malay,Cornish,10
Central Nicobarese,Nancowry,1
Central Nicobarese,Samoan,2
Central Nicobarese,Bobangi,3
Central Nicobarese,Dimasa,4
Central Nicobarese,Tangga,5
Central Nicobarese,Orokolo,6
Central Nicobarese,Urak Lawoi',7
Central Nicobarese,Roviana,8
Central Nicobarese,Fijian,9
Central Nicobarese,Raluana,10
Central Siberian Yupik,Aleut,1
Central Siberian Yupik,Ahtena,2
Central Siberian Yupik,Tanacross,3
Central Siberian Yupik,Dena'ina,4
Central Siberian Yupik,Nuu-chah-nulth,5
Central Siberian Yupik,Western Canadian Inuktitut,6
Central Siberian Yupik,Kwak'wala,7
Central Siberian Yupik,Navajo,8
Central Siberian Yupik,Northwest Sahaptin,9
Central Siberian Yupik,Jicarilla Apache,10
Central Tarahumara,Mayan,1
Central Tarahumara,Western Huasteca Nahuatl,2
Central Tarahumara,Yaqui,3
Central Tarahumara,Tzotzil,4
Central Tarahumara,K'iche',5
Central Tarahumara,Yucatec Maya,6
Central Tarahumara,Hidatsa,7
Central Tarahumara,Koasati,8
Central Tarahumara,San Blas Kuna,9
Central Tarahumara,Kalispel-Pend d'Oreille,10
Chadian Arabic,Tuvinian,1
Chadian Arabic,Gaam,2
Chadian Arabic,Mandinka,3
Chadian Arabic,Sidamo,4
Chadian Arabic,Pulaar,5
Chadian Arabic,Haitian,6
Chadian Arabic,Gambian Wolof,7
Chadian Arabic,Wolof,8
