word,neighbour,i
slave,oath,3
slave,messenger,4
slave,constellation,5
slave,garment,6
slave,booty,7
slave,governor,8
slave,clothed,9
slave,accusation,10
glove,stocking,1
glove,chimney,2
glove,cabin,3
glove,glass,4
glove,gauntlet,5
glove,lock,6
glove,violin,7
glove,veal,8
glove,shoe,9
glove,dock,10
goddess,deity,1
goddess,sacred,2
goddess,gods,3
goddess,goddesses,4
goddess,caste,5
goddess,born,6
goddess,festival,7
goddess,deities,8
goddess,ascetic,9
goddess,rites,10
stamp,polish,1
stamp,glaze,2
stamp,receipt,3
stamp,register,4
stamp,brake,5
stamp,staircase,6
stamp,contractor,7
stamp,warehouse,8
stamp,gauge,9
stamp,screw,10
dynasty,diagrams,1
dynasty,characters,2
dynasty,classics,3
dynasty,emperor,4
dynasty,lanterns,5
dynasty,radicals,6
dynasty,jade,7
dynasty,china,8
dynasty,scallions,9
dynasty,tablet,10
camel,camels,1
camel,mecca,2
camel,turban,3
camel,dates,4
camel,watered,5
camel,pomegranate,6
camel,intelligent,7
camel,pious,8
camel,pilgrimage,9
camel,mosque,10
boot,boots,1
boot,chimney,2
boot,glove,3
boot,frost,4
boot,beet,5
boot,hood,6
boot,bed,7
boot,loaf,8
boot,lock,9
boot,stocking,10
stall,stave,1
stall,fleece,2
stall,plush,3
stall,sly,4
stall,lock,5
stall,quarry,6
stall,tapestry,7
stall,bolt,8
stall,hood,9
stall,stroke,10
decree,overthrow,1
decree,esteem,2
decree,banish,3
decree,counterfeit,4
decree,prevail,5
decree,restore,6
decree,declare,7
decree,judgment,8
decree,prolong,9
decree,booty,10
til,matte,1
til,mitt,2
til,gang,3
til,grad,4
til,angst,5
til,stats,6
til,mage,7
til,den,8
til,barn,9
til,inn,10
stocking,glove,1
stocking,chimney,2
stocking,shoe,3
stocking,quarry,4
stocking,cheese,5
stocking,loaf,6
stocking,stave,7
stocking,lock,8
stocking,gauntlet,9
stocking,veal,10
polish,stamp,1
polish,sly,2
polish,curl,3
polish,nonsense,4
polish,sparkle,5
polish,sewer,6
polish,cheer,7
polish,stain,8
polish,sausage,9
polish,blunder,10
creek,creeks,1
creek,eagle,2
creek,brother-in-law,3
creek,berries,4
creek,duck,5
creek,knee,6
creek,aboriginal,7
creek,owl,8
creek,tracks,9
creek,kangaroo,10
domain,transfer,1
domain,deliberate,2
domain,duplicate,3
domain,revise,4
domain,lenient,5
domain,resume,6
domain,fundamental,7
domain,consolidate,8
domain,stimulate,9
domain,decline,10
spider,lizard,1
spider,frog,2
spider,ankle,3
spider,bird,4
spider,dove,5
spider,wasp,6
spider,tree,7
spider,rainbow,8
spider,thigh,9
spider,cane,10
poet,oars,1
poet,muses,2
poet,magistrates,3
poet,fates,4
poet,rhetorical,5
poet,poets,6
poet,stoic,7
poet,oratory,8
poet,sumptuous,9
poet,foraging,10
brace,tack,1
brace,haul,2
brace,crank,3
brace,curl,4
brace,bolt,5
brace,recoil,6
brace,grinder,7
brace,crusty,8
brace,sucker,9
brace,buoy,10
wine,amber,1
wine,vault,2
wine,lead,3
wine,soldier,4
wine,linen,5
wine,artichoke,6
wine,grapes,7
wine,vinegar,8
wine,painter,9
wine,pear,10
diamond,painter,1
diamond,diamonds,2
diamond,glass,3
diamond,chalk,4
diamond,wheel,5
diamond,violin,6
diamond,velvet,7
diamond,sulphur,8
diamond,pump,9
diamond,chain,10
examination,expenses,1
examination,scenery,2
examination,lessons,3
examination,foreign,4
examination,regulations,5
examination,electric,6
examination,study,7
examination,plan,8
examination,capital,9
examination,educational,10
cart,straw,1
cart,wheel,2
cart,tally,3
cart,pear,4
cart,tart,5
cart,gutter,6
cart,hound,7
cart,chimney,8
cart,clout,9
cart,bells,10
cheese,mess,1
cheese,stocking,2
cheese,cream,3
cheese,chimney,4
cheese,cupboard,5
cheese,pastry,6
cheese,glass,7
cheese,sausage,8
cheese,knitting,9
cheese,shoe,10
lock,bolt,1
lock,trick,2
lock,nail,3
lock,pump,4
lock,tack,5
lock,hinge,6
lock,curl,7
lock,buckle,8
lock,mend,9
lock,hammer,10
turtle,crab,1
turtle,shell,2
turtle,fish,3
turtle,swamp,4
turtle,turtles,5
turtle,fishing,6
turtle,mangrove,7
turtle,shark,8
turtle,paddle,9
turtle,pandanus,10
skull,thigh,1
skull,nostril,2
skull,saliva,3
skull,breast,4
skull,navel,5
skull,nipple,6
skull,wrist,7
skull,blossom,8
skull,itch,9
skull,armpit,10
march,comedy,1
march,veal,2
march,demand,3
march,curb,4
march,indictment,5
march,clerk,6
march,critic,7
march,lay,8
march,auction,9
march,valuation,10
chant,chants,1
chant,chanting,2
chant,cliff,3
chant,breeze,4
chant,chanted,5
chant,tattoo,6
chant,pole,7
chant,cord,8
chant,carved,9
chant,dark,10
lace,chandelier,1
lace,intrigue,2
lace,breaker,3
lace,valet,4
lace,conjure,5
lace,papal,6
lace,expire,7
lace,palpable,8
lace,dresser,9
lace,bearer,10
void,wanton,1
void,contrary,2
void,discourse,3
void,kindred,4
void,dainty,5
void,remembrance,6
void,apt,7
void,breadth,8
void,liberty,9
void,hire,10
collar,gunner,1
collar,buckle,2
collar,rack,3
collar,stitch,4
collar,screw,5
collar,lock,6
collar,bolt,7
collar,vault,8
collar,hound,9
collar,venison,10
duty,goods,1
duty,expenses,2
duty,examination,3
duty,credit,4
duty,expense,5
duty,execution,6
duty,proof,7
duty,consideration,8
duty,carriage,9
duty,allowance,10
command,appoint,1
command,conquer,2
command,deliver,3
command,proclaim,4
command,restore,5
command,decree,6
command,mount,7
command,declare,8
command,undertake,9
command,pursue,10
principle,principles,1
principle,natural,2
principle,constitution,3
principle,classics,4
principle,intellectual,5
principle,rules,6
principle,capital,7
principle,harmony,8
principle,petty,9
principle,capacity,10
coat,glass,1
coat,gloves,2
coat,violin,3
coat,cards,4
coat,bed,5
coat,diamonds,6
coat,clock,7
coat,stairs,8
coat,chimney,9
coat,book,10
swamp,turtle,1
swamp,mangrove,2
swamp,mosquito,3
swamp,fish,4
swamp,fishing,5
swamp,paddle,6
swamp,rainbow,7
swamp,crab,8
swamp,shell,9
swamp,ankle,10
stuff,sharper,1
stuff,tack,2
stuff,prick,3
stuff,recover,4
stuff,linen,5
stuff,draughts,6
stuff,vault,7
stuff,tapestry,8
stuff,trifle,9
stuff,unravel,10
anchor,rigging,1
anchor,mast,2
anchor,cannon,3
anchor,sails,4
anchor,tack,5
anchor,buoy,6
anchor,cable,7
anchor,rudder,8
anchor,starboard,9
anchor,deck,10
sage,peacock,1
sage,ascetic,2
sage,nectar,3
sage,degraded,4
sage,penance,5
sage,virtuous,6
sage,incarnation,7
sage,emancipation,8
sage,churning,9
sage,jasmine,10
soldier,sails,1
soldier,oars,2
soldier,judge,3
soldier,hounds,4
soldier,cavalry,5
soldier,writer,6
soldier,marble,7
soldier,amphitheatre,8
soldier,satirical,9
soldier,wine,10
glass,coat,1
glass,window,2
glass,screw,3
glass,furniture,4
glass,book,5
glass,engine,6
glass,violin,7
glass,clock,8
glass,stairs,9
glass,drawer,10
pump,dock,1
pump,screw,2
pump,gauge,3
pump,tack,4
pump,lock,5
pump,cable,6
pump,brake,7
pump,mask,8
pump,cabin,9
pump,glass,10
draft,personnel,1
draft,postal,2
draft,blackmail,3
draft,cash,4
draft,certificate,5
draft,circulation,6
draft,bureau,7
draft,clique,8
draft,diplomatic,9
draft,regulations,10
pigeon,bird,1
pigeon,parrot,2
pigeon,tree,3
pigeon,thigh,4
pigeon,armpit,5
pigeon,navel,6
pigeon,string,7
pigeon,lizard,8
pigeon,rat,9
pigeon,spider,10
beef,chimney,1
beef,veal,2
beef,clock,3
beef,jelly,4
beef,cabin,5
beef,cider,6
beef,salad,7
beef,lemonade,8
beef,gloves,9
beef,bottle,10
esteem,banish,1
esteem,overthrow,2
esteem,lessen,3
esteem,publish,4
esteem,mingle,5
esteem,subdue,6
esteem,disdain,7
esteem,counterfeit,8
esteem,renew,9
esteem,affirm,10
aspect,inflection,1
aspect,paradigm,2
aspect,unspecified,3
aspect,location,4
aspect,markers,5
aspect,objects,6
aspect,grammatical,7
aspect,marker,8
aspect,repetitive,9
aspect,categories,10
founder,unheard,1
founder,reckon,2
founder,stoic,3
founder,amber,4
founder,couch,5
founder,promoter,6
founder,historian,7
founder,lyric,8
founder,labyrinth,9
founder,amphitheatre,10
record,plan,1
record,ticket,2
record,control,3
record,examination,4
record,electric,5
record,decide,6
record,test,7
record,audience,8
record,camera,9
record,vote,10
stake,curl,1
stake,gutter,2
stake,stroke,3
stake,brood,4
stake,stall,5
stake,thwart,6
stake,rack,7
stake,peg,8
stake,curb,9
stake,lock,10
hem,hop,1
hem,lap,2
hem,lid,3
hem,drizzle,4
hem,ache,5
hem,wink,6
hem,chop,7
hem,rot,8
hem,brim,9
hem,sob,10
deck,tack,1
deck,pump,2
deck,cabin,3
deck,glass,4
deck,buoy,5
deck,dock,6
deck,rigging,7
deck,helm,8
deck,glove,9
deck,vault,10
fashion,dash,1
fashion,fancy,2
fashion,rack,3
fashion,worse,4
fashion,nasty,5
fashion,concern,6
fashion,cheer,7
fashion,run,8
fashion,oversight,9
fashion,gallery,10
demand,survey,1
demand,view,2
demand,withdraw,3
demand,surrender,4
demand,supply,5
demand,resign,6
demand,appeal,7
demand,trial,8
demand,maintain,9
demand,prove,10
constellation,stars,1
constellation,constellations,2
constellation,gods,3
constellation,rhetoric,4
constellation,adorned,5
constellation,king,6
constellation,sacred,7
constellation,celebrated,8
constellation,goddess,9
constellation,conquered,10
theme,environments,1
theme,themes,2
theme,paradigm,3
theme,mountainside,4
theme,thematic,5
theme,unspecified,6
theme,aspect,7
theme,occur,8
theme,categories,9
theme,functioning,10
enjoyment,prosperity,1
enjoyment,worldly,2
enjoyment,attachment,3
enjoyment,observance,4
enjoyment,ascetic,5
enjoyment,wealth,6
enjoyment,intoxicating,7
enjoyment,lustre,8
enjoyment,mansion,9
enjoyment,accomplishment,10
wagon,prairie,1
wagon,skunk,2
wagon,buggy,3
wagon,whiskey,4
wagon,wagons,5
wagon,rattlesnake,6
wagon,raccoon,7
wagon,rabbit,8
wagon,leggings,9
wagon,coyote,10
capital,regulations,1
capital,foreign,2
capital,urgent,3
capital,examination,4
capital,commercial,5
capital,official,6
capital,criminal,7
capital,customs,8
capital,taxes,9
capital,national,10
emperor,imperial,1
emperor,classics,2
emperor,surname,3
emperor,dynasty,4
emperor,posterity,5
emperor,lanterns,6
emperor,characters,7
emperor,diagrams,8
emperor,emperors,9
emperor,superiors,10
bill,bills,1
bill,suit,2
bill,commercial,3
bill,credit,4
bill,board,5
bill,freight,6
bill,payable,7
bill,clerk,8
bill,admission,9
bill,premium,10
contrary,counterfeit,1
contrary,liberty,2
contrary,proceed,3
contrary,discourse,4
contrary,void,5
contrary,honour,6
contrary,hurtful,7
contrary,esteem,8
contrary,pretence,9
contrary,bounds,10
judge,judgment,1
judge,decree,2
judge,soldier,3
judge,counterfeit,4
judge,contrary,5
judge,liberty,6
judge,lay,7
judge,declare,8
judge,defend,9
judge,discover,10
image,assembly,1
image,temple,2
image,sacred,3
image,goddess,4
image,multitude,5
image,purification,6
image,destruction,7
image,offering,8
image,desire,9
image,gods,10
vault,curb,1
vault,vein,2
vault,draught,3
vault,buckle,4
vault,tapestry,5
vault,linen,6
vault,bolt,7
vault,balm,8
vault,mould,9
vault,prejudice,10
sale,inspection,1
sale,bill,2
sale,vote,3
sale,business,4
sale,premium,5
sale,prime,6
sale,manufacture,7
sale,admission,8
sale,balance,9
sale,calculation,10
train,room,1
train,station,2
train,minutes,3
train,hours,4
train,lecture,5
train,concert,6
train,shop,7
train,desk,8
train,telephone,9
train,cost,10
reform,urgent,1
reform,private,2
reform,talent,3
reform,foreign,4
reform,scenery,5
reform,revise,6
reform,resign,7
reform,regulations,8
reform,promote,9
reform,uniform,10
town,towns,1
town,roses,2
town,inhabitants,3
town,judge,4
town,comedy,5
town,baths,6
town,clients,7
town,pounds,8
town,voted,9
town,march,10
channel,socket,1
channel,sheet,2
channel,tack,3
channel,cards,4
channel,wheel,5
channel,mould,6
channel,burgundy,7
channel,deck,8
channel,buoy,9
channel,paving,10
board,gauge,1
board,cabin,2
board,screw,3
board,clerk,4
board,buoy,5
board,copy,6
board,gallery,7
board,warehouse,8
board,freight,9
board,delivery,10
estate,estates,1
estate,trial,2
estate,liberty,3
estate,cast,4
estate,lay,5
estate,soldier,6
estate,wrought,7
estate,lease,8
estate,witness,9
estate,proof,10
inhabitant,,1
inhabitant,,2
inhabitant,,3
inhabitant,,4
inhabitant,,5
inhabitant,,6
inhabitant,,7
inhabitant,,8
inhabitant,,9
inhabitant,,10
aka,beads,1
aka,knife,2
aka,yam,3
aka,papa,4
aka,sore,5
aka,arrows,6
aka,palm,7
aka,rub,8
aka,skin,9
aka,hoe,10
company,hours,1
company,hour,2
company,cost,3
company,health,4
company,prices,5
company,policy,6
company,negotiations,7
company,insurance,8
company,costs,9
company,traffic,10
talent,urgent,1
talent,reform,2
talent,plan,3
talent,talented,4
talent,classics,5
talent,scenery,6
talent,promote,7
talent,report,8
talent,regulations,9
talent,promotion,10
funeral,festival,1
funeral,temple,2
funeral,rites,3
funeral,marriage,4
funeral,immortality,5
funeral,death,6
funeral,grandson,7
funeral,elder,8
funeral,drum,9
funeral,founder,10
paint,coat,1
paint,nail,2
paint,grease,3
paint,brush,4
paint,glass,5
paint,knock,6
paint,take,7
paint,engine,8
paint,fork,9
paint,stairs,10
station,ticket,1
station,train,2
station,telephone,3
station,shop,4
station,restaurant,5
station,hospital,6
station,department,7
station,magazine,8
station,desk,9
station,sports,10
humor,rumor,1
humor,vigor,2
humor,neighborhood,3
humor,honor,4
humor,pretense,5
humor,labor,6
humor,traveler,7
humor,favorable,8
humor,parlor,9
humor,valor,10
screw,gauge,1
screw,pump,2
screw,crank,3
screw,brake,4
screw,packing,5
screw,glass,6
screw,cartridge,7
screw,board,8
screw,stamp,9
screw,apprenticeship,10
temper,manners,1
temper,fancy,2
temper,colours,3
temper,bargain,4
temper,draught,5
temper,lodgings,6
temper,coat,7
temper,fellow,8
temper,prejudice,9
temper,fair,10
pace,play,1
pace,collar,2
pace,jolly,3
pace,knack,4
pace,shabby,5
pace,venture,6
pace,hearty,7
pace,cope,8
pace,bargain,9
pace,haunt,10
bed,chimney,1
bed,coat,2
bed,gloves,3
bed,glass,4
bed,cheese,5
bed,stairs,6
bed,window,7
bed,pocket,8
bed,nail,9
bed,glove,10
carrier,cutter,1
carrier,manufacturer,2
carrier,gauge,3
carrier,valve,4
carrier,combustion,5
carrier,portfolio,6
carrier,ignition,7
carrier,attorney,8
carrier,grinder,9
carrier,roller,10
demon,semen,1
demon,peacock,2
demon,ascetic,3
demon,worlds,4
demon,moon,5
demon,deity,6
demon,penance,7
demon,jasmine,8
demon,sage,9
demon,nectar,10
pocket,clock,1
pocket,window,2
pocket,watch,3
pocket,customer,4
pocket,book,5
pocket,cheap,6
pocket,stairs,7
pocket,balloon,8
pocket,stamp,9
pocket,towel,10
cliff,rock,1
cliff,rocks,2
cliff,cave,3
cliff,slippery,4
cliff,dark,5
cliff,breeze,6
cliff,cliffs,7
cliff,footprint,8
cliff,rocky,9
cliff,grandchild,10
shark,crab,1
shark,sharks,2
shark,reef,3
shark,coral,4
shark,octopus,5
shark,shell,6
shark,lagoon,7
shark,canoe,8
shark,fish,9
shark,breadfruit,10
perfume,perfumes,1
perfume,abandoning,2
perfume,saffron,3
perfume,emerald,4
perfume,demon,5
perfume,pomegranate,6
perfume,cloves,7
perfume,outcast,8
perfume,coriander,9
perfume,mystical,10
attendant,follower,1
attendant,enjoyment,2
attendant,lustre,3
attendant,observance,4
attendant,ascetic,5
attendant,worldly,6
attendant,mansion,7
attendant,universe,8
attendant,emancipation,9
attendant,perception,10
writer,painter,1
writer,soldier,2
writer,critic,3
writer,manners,4
writer,mosaic,5
writer,proof,6
writer,public,7
writer,comedy,8
writer,greatest,9
writer,morals,10
paddle,fish,1
paddle,paddling,2
paddle,canoe,3
paddle,fishing,4
paddle,canoes,5
paddle,net,6
paddle,beach,7
paddle,driftwood,8
paddle,shell,9
paddle,tide,10
stair,wand,1
stair,rink,2
stair,stocking,3
stair,bonnet,4
stair,stall,5
stair,pulpit,6
stair,spark,7
stair,tenement,8
stair,walker,9
stair,latch,10
accusation,dispute,1
accusation,accomplish,2
accusation,conspiracy,3
accusation,disgrace,4
accusation,promise,5
accusation,madness,6
accusation,weighty,7
accusation,consolation,8
accusation,endure,9
accusation,accuse,10
shock,shocking,1
shock,duplicate,2
shock,thrill,3
shock,recess,4
shock,lounge,5
shock,scale,6
shock,bracket,7
shock,unqualified,8
shock,publicity,9
shock,supply,10
expense,wholesale,1
expense,subscription,2
expense,credit,3
expense,receipt,4
expense,odd,5
expense,price,6
expense,sell,7
expense,duty,8
expense,expenses,9
expense,allowance,10
clock,window,1
clock,glasses,2
clock,luggage,3
clock,hour,4
clock,room,5
clock,engine,6
clock,cream,7
clock,book,8
clock,cupboard,9
clock,desk,10
ladder,shelf,1
ladder,floor,2
ladder,gun,3
ladder,nail,4
ladder,roof,5
ladder,shoulder,6
ladder,dog,7
ladder,tooth,8
ladder,belt,9
ladder,road,10
grape,grapes,1
grape,walnut,2
grape,maker,3
grape,parsley,4
grape,trumpet,5
grape,butcher,6
grape,eater,7
grape,fennel,8
grape,vineyard,9
grape,plum,10
wheel,sheet,1
wheel,screw,2
wheel,glass,3
wheel,axle,4
wheel,furnace,5
wheel,gauge,6
wheel,mould,7
wheel,chain,8
wheel,pump,9
wheel,bolt,10
autumn,summer,1
autumn,classics,2
autumn,guest,3
autumn,regulations,4
autumn,urgent,5
autumn,winter,6
autumn,scenery,7
autumn,foreign,8
autumn,imperial,9
autumn,talent,10
city,cities,1
city,citizens,2
city,allies,3
city,governor,4
city,king,5
city,army,6
city,conquered,7
city,dedicated,8
city,country,9
city,temple,10
ticket,station,1
ticket,tour,2
ticket,manager,3
ticket,hospital,4
ticket,train,5
ticket,record,6
ticket,telephone,7
ticket,shopping,8
ticket,magazine,9
ticket,taxi,10
silk,hemp,1
silk,coarse,2
silk,gauze,3
silk,elegant,4
silk,tiles,5
silk,porcelain,6
silk,pheasant,7
silk,carriage,8
silk,minced,9
silk,metals,10
furniture,glass,1
furniture,window,2
furniture,clock,3
furniture,drawer,4
furniture,luggage,5
furniture,engine,6
furniture,jacket,7
furniture,lights,8
furniture,cupboard,9
furniture,cheese,10
miner,reactive,1
miner,piston,2
miner,alpine,3
miner,profiling,4
miner,veneer,5
miner,instrumentation,6
miner,glassy,7
miner,pendulum,8
miner,resection,9
miner,dichotomous,10
flu,concert,1
flu,lens,2
flu,air,3
flu,electricity,4
flu,chair,5
flu,microscope,6
flu,skating,7
flu,driver,8
flu,lawn,9
flu,train,10
ton,tan,1
ton,tin,2
ton,kit,3
ton,pin,4
ton,kin,5
ton,pan,6
ton,yen,7
ton,pal,8
ton,pat,9
ton,wan,10
destruction,desire,1
destruction,multitude,2
destruction,wicked,3
destruction,purity,4
destruction,distress,5
destruction,dwelling,6
destruction,assembly,7
destruction,enjoyment,8
destruction,separation,9
destruction,prosperity,10
ocean,moon,1
ocean,bathing,2
ocean,nectar,3
ocean,demon,4
ocean,expanded,5
ocean,peacock,6
ocean,turmeric,7
ocean,superhuman,8
ocean,sage,9
ocean,observance,10
chess,puppet,1
chess,staircase,2
chess,trick,3
chess,dismiss,4
chess,cards,5
chess,pastry,6
chess,wardrobe,7
chess,cushion,8
chess,sleeve,9
chess,clove,10
regulation,administration,1
regulation,uniform,2
regulation,investigation,3
regulation,prevention,4
regulation,notification,5
regulation,monopoly,6
regulation,transfer,7
regulation,suspicion,8
regulation,assistance,9
regulation,petition,10
delivery,subscription,1
delivery,subscriber,2
delivery,deposit,3
delivery,shipping,4
delivery,registration,5
delivery,insurance,6
delivery,clearance,7
delivery,liability,8
delivery,certificate,9
delivery,recovery,10
reproach,habitation,1
reproach,agreeable,2
reproach,deceit,3
reproach,fruitful,4
reproach,multitude,5
reproach,wandering,6
reproach,inclination,7
reproach,brightness,8
reproach,dread,9
reproach,delight,10
ride,cross,1
ride,chair,2
ride,watch,3
ride,count,4
ride,care,5
ride,wear,6
ride,lend,7
ride,yard,8
ride,notice,9
ride,vote,10
plan,meeting,1
plan,record,2
plan,talent,3
plan,examination,4
plan,strict,5
plan,decide,6
plan,bridge,7
plan,audience,8
plan,scenery,9
plan,feelings,10
moon,sun,1
moon,necklace,2
moon,elephant,3
moon,demon,4
moon,navel,5
moon,semen,6
moon,forehead,7
moon,peacock,8
moon,worlds,9
moon,planet,10
witness,oath,1
witness,inheritance,2
witness,plead,3
witness,summon,4
witness,decree,5
witness,deny,6
witness,proclaim,7
witness,restore,8
witness,prophecy,9
witness,bring,10
print,glaze,1
print,gallery,2
print,stamp,3
print,annuity,4
print,screw,5
print,paving,6
print,cards,7
print,engraving,8
print,trimming,9
print,plush,10
exercise,demand,1
exercise,gain,2
exercise,consideration,3
exercise,account,4
exercise,trial,5
exercise,justice,6
exercise,absurd,7
exercise,public,8
exercise,maintain,9
exercise,fidelity,10
planet,planets,1
planet,peacock,2
planet,mansion,3
planet,excellence,4
planet,universe,5
planet,elephant,6
planet,worlds,7
planet,jasmine,8
planet,mystical,9
planet,intellect,10
comparison,frequent,1
comparison,syllables,2
comparison,couch,3
comparison,distinction,4
comparison,esteem,5
comparison,uncertainty,6
comparison,assert,7
comparison,beginning,8
comparison,repetition,9
comparison,severity,10
wealth,prosperity,1
wealth,happiness,2
wealth,universe,3
wealth,enjoyment,4
wealth,virtuous,5
wealth,ascetic,6
wealth,meditation,7
wealth,worldly,8
wealth,mansion,9
wealth,incarnation,10
pea,steer,1
pea,strainer,2
pea,tongs,3
pea,nail,4
pea,apple,5
pea,yolk,6
pea,carpenter,7
pea,moth,8
pea,nipple,9
pea,mole,10
shop,train,1
shop,station,2
shop,office,3
shop,telephone,4
shop,steak,5
shop,desk,6
shop,restaurant,7
shop,label,8
shop,spare,9
shop,concert,10
disgrace,ruin,1
disgrace,eloquence,2
disgrace,chastity,3
disgrace,madness,4
disgrace,leisure,5
disgrace,quickness,6
disgrace,delay,7
disgrace,modesty,8
disgrace,severity,9
disgrace,grief,10
drain,clamp,1
drain,lodge,2
drain,clash,3
drain,wrench,4
drain,flush,5
drain,reel,6
drain,grimace,7
drain,arcade,8
drain,outrage,9
drain,loaf,10
limit,harmony,1
limit,obstruct,2
limit,oppose,3
limit,restrain,4
limit,reject,5
limit,exhibit,6
limit,exceed,7
limit,subtle,8
limit,leisure,9
limit,connect,10
fare,clerk,1
fare,freight,2
fare,chaplain,3
fare,sterling,4
fare,veal,5
fare,deck,6
fare,loft,7
fare,unpaid,8
fare,bid,9
fare,board,10
fault,passion,1
fault,honour,2
fault,endeavour,3
fault,gain,4
fault,courage,5
fault,relation,6
fault,worthy,7
fault,riches,8
fault,fear,9
fault,haste,10
balance,premium,1
balance,transit,2
balance,relief,3
balance,circulation,4
balance,trade,5
balance,rate,6
balance,rotation,7
balance,deposit,8
balance,monopoly,9
balance,radius,10
bull,cow,1
bull,calf,2
bull,milk,3
bull,cattle,4
bull,herd,5
bull,crow,6
bull,yoke,7
bull,ox,8
bull,calves,9
bull,bulls,10
troop,veil,1
troop,languid,2
troop,prudent,3
troop,booty,4
troop,dominion,5
troop,bountiful,6
troop,abundance,7
troop,swift,8
troop,proud,9
troop,reproach,10
bridge,plan,1
bridge,box,2
bridge,ticket,3
bridge,extra,4
bridge,paper,5
bridge,record,6
bridge,station,7
bridge,hospital,8
bridge,examination,9
bridge,bank,10
rage,hiss,1
rage,ruin,2
rage,scourge,3
rage,throng,4
rage,madness,5
rage,deadly,6
rage,silence,7
rage,incursion,8
rage,gentleness,9
rage,fury,10
government,political,1
government,electricity,2
government,president,3
government,nations,4
government,pictures,5
government,students,6
government,audience,7
government,representatives,8
government,official,9
government,study,10
engine,booking,1
engine,gear,2
engine,clock,3
engine,battery,4
engine,cooker,5
engine,window,6
engine,breakdown,7
engine,cyclist,8
engine,traffic,9
engine,book,10
whale,whales,1
whale,tide,2
whale,shore,3
whale,beach,4
whale,island,5
whale,islands,6
whale,surf,7
whale,dolphin,8
whale,shark,9
whale,bait,10
brain,glass,1
brain,telescope,2
brain,society,3
brain,hydrogen,4
brain,colours,5
brain,scale,6
brain,goods,7
brain,vein,8
brain,deck,9
brain,railway,10
window,room,1
window,clock,2
window,street,3
window,desk,4
window,glasses,5
window,hour,6
window,stairs,7
window,traffic,8
window,costs,9
window,cost,10
battle,reproach,1
battle,army,2
battle,youth,3
battle,eloquence,4
battle,dwelling,5
battle,hero,6
battle,tribute,7
battle,splendid,8
battle,assembly,9
battle,powerful,10
oath,inheritance,1
oath,booty,2
oath,decree,3
oath,depart,4
oath,deliver,5
oath,pledge,6
oath,witness,7
oath,prove,8
oath,shepherd,9
oath,mount,10
business,profits,1
